params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",42.47474200000033,100,-0.1005470688566738,-0.10000000000000002,-0.10608108108108107,-0.10000000000000002,0.0010451226318055917
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",40.51944000000003,100,-0.10049526925146658,-0.10000000000000002,-0.10566037735849054,-0.10000000000000002,0.0010398074893778722
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",41.28827300000012,100,-0.10037624208618706,-0.10000000000000002,-0.10316901408450703,-0.10000000000000002,0.0007791988143721328
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",39.61369000000013,100,-0.10031457844141554,-0.10000000000000002,-0.1034351145038168,-0.10000000000000002,0.0007164267932677705
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",37.39792899999975,100,-0.10049935249887276,-0.10000000000000002,-0.10489130434782608,-0.10000000000000002,0.0009044826945762844
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",36.67579099999966,100,-0.10030400607667196,-0.10000000000000002,-0.10409090909090908,-0.09723618090452261,0.0007963510451367188
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",30.88189599999987,100,-0.1007611680091933,-0.10000000000000002,-0.10608108108108107,-0.09630872483221475,0.0012762412464000096
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",13.853210000000217,100,-0.11705553049427757,-0.11395432692307692,-0.15625,-0.10459183673469388,0.010489299647225375
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",45.46575800000028,100,-0.10095816389683664,-0.10000000000000002,-0.118,-0.10000000000000002,0.0022315147464213175
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",42.62193899999966,100,-0.10106751221534692,-0.10000000000000002,-0.11184210526315787,-0.10000000000000002,0.0019263885802062327
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",38.62289400000009,100,-0.10053190632170793,-0.10000000000000002,-0.10612244897959182,-0.10000000000000002,0.0011518198282695778
