params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",45.886371000000054,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",44.86630800000012,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",34.138410999999905,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",20.021084999999857,100,-0.0909687877890223,-0.0930593152866242,-0.09848275862068964,-0.04210526315789475,0.008168724233929357
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",17.817617999999584,100,-0.09129779502669283,-0.09340939260215977,-0.09860583016476553,-0.06451612903225809,0.006597653623599043
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",20.17205799999965,100,-0.09024763571426828,-0.0923874521072797,-0.09838709677419354,-0.07105263157894738,0.006007295398833608
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",17.04998599999999,100,-0.09236408486941514,-0.09398835299387784,-0.10000000000000002,-0.07179487179487182,0.0058640694459263865
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",14.449150999999802,100,-0.09094646485342821,-0.09230769230769227,-0.09786407766990292,-0.07179487179487182,0.005140185169383154
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",7.593254999999772,100,-0.10215717559119572,-0.09173421141506247,-0.19,-0.05769230769230771,0.02579855051749516
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",42.37393400000019,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
